"Select a Pickup point","Select a Pickup point"
"Select other Pickup point","Select other Pickup point"
"Ship to RedBox Pickup point","Ship to RedBox Pickup point"
"Search for a RedBox Pickup point near you","Search for a RedBox Pickup point near you"
"RedBox Pickup points enable you to pick up your package at your convenience from a nearby self-service Locker or a staffed location","RedBox Pickup points enable you to pick up your package at your convenience from a nearby self-service Locker or a staffed location"
"Search by Address","Search by Address"
"Estimate time delivery","Estimate time delivery"
"days","days"
"Ship to this location","Ship to this location"
"Shipping to","Shipping to"
"Selected point","Selected point"
"Restricted access","Restricted access"
"I confirm that I have access to this location","I confirm that I have access to this location"
"Counter & Locker","Counter & Locker"
"Counter","Counter"
"Locker","Locker"